 Consumption
 Time, Wh 
  26/03/2026 12:00 , 86.3 
  26/03/2026 13:00 , 110.16 
  26/03/2026 14:00 , 120.4 
  26/03/2026 15:00 , 106.95 
  26/03/2026 16:00 , 111.38 
  26/03/2026 17:00 , 99.79 
  26/03/2026 18:00 , 11.6 
  26/03/2026 19:00 , 35.43 
  26/03/2026 20:00 , 36.25 
  26/03/2026 21:00 , 41.91 
  26/03/2026 22:00 , 47.55 
  26/03/2026 23:00 , 47.56 
  27/03/2026 00:00 , 47.6 
  27/03/2026 01:00 , 47.62 
  27/03/2026 02:00 , 47.67 
  27/03/2026 03:00 , 47.72 
  27/03/2026 04:00 , 47.74 
  27/03/2026 05:00 , 47.75 
  27/03/2026 06:00 , 47.51 
  27/03/2026 07:00 , 21.31 
  27/03/2026 08:00 , 14.3 
  27/03/2026 09:00 , 3.61 
  27/03/2026 10:00 , 3.63 
  27/03/2026 11:00 , 12.39 
 
 Total returned
 Time, Wh 
  26/03/2026 12:00 , 0 
  26/03/2026 13:00 , 0 
  26/03/2026 14:00 , 0 
  26/03/2026 15:00 , 0 
  26/03/2026 16:00 , 0 
  26/03/2026 17:00 , 0 
  26/03/2026 18:00 , 0 
  26/03/2026 19:00 , 0 
  26/03/2026 20:00 , 0 
  26/03/2026 21:00 , 0 
  26/03/2026 22:00 , 0 
  26/03/2026 23:00 , 0 
  27/03/2026 00:00 , 0 
  27/03/2026 01:00 , 0 
  27/03/2026 02:00 , 0 
  27/03/2026 03:00 , 0 
  27/03/2026 04:00 , 0 
  27/03/2026 05:00 , 0 
  27/03/2026 06:00 , 0 
  27/03/2026 07:00 , 0 
  27/03/2026 08:00 , 0 
  27/03/2026 09:00 , 0 
  27/03/2026 10:00 , 0 
  27/03/2026 11:00 , 0 
 
